,column_name,nan_count,nan_percentage
env_observation_location_elevat,env_observation_location_elevat,139794,77.44691223968577
road_level_approximation,road_level_approximation,40709,22.553087760314234
location_10,location_10,40709,22.553087760314234
location_9,location_9,40709,22.553087760314234
vehicle_type_5,vehicle_type_5,40709,22.553087760314234
vehicle_type_6,vehicle_type_6,40709,22.553087760314234
vehicle_type_2,vehicle_type_2,40709,22.553087760314234
vehicle_type_3,vehicle_type_3,40709,22.553087760314234
vehicle_type_4,vehicle_type_4,40709,22.553087760314234
vehicle_type_1,vehicle_type_1,40709,22.553087760314234
speed_trend,speed_trend,40709,22.553087760314234
weight_2,weight_2,40709,22.553087760314234
env_sailing_value,env_sailing_value,40709,22.553087760314234
speed_diff,speed_diff,40709,22.553087760314234
Trip_ID_last,Trip_ID_last,11153,6.1788446729417235
cruise_control_active_mean,cruise_control_active_mean,0,0.0
engine_speed_mean,engine_speed_mean,0,0.0
engine_percent_load_at_current_speed_mean,engine_percent_load_at_current_speed_mean,0,0.0
accelerator_pedal_position_mean,accelerator_pedal_position_mean,0,0.0
Trip_ID_first,Trip_ID_first,0,0.0
deviceuniquecode,deviceuniquecode,0,0.0
ID,ID,0,0.0
speed_lastintrip,speed_lastintrip,0,0.0
speed_mean,speed_mean,0,0.0
heading_diff_std,heading_diff_std,0,0.0
heading_mean,heading_mean,0,0.0
ambient_air_temperature_mean,ambient_air_temperature_mean,0,0.0
brake_switch_mean,brake_switch_mean,0,0.0
duration_sum,duration_sum,0,0.0
speed_firstInTrip,speed_firstInTrip,0,0.0
env_wind_gust_kph,env_wind_gust_kph,0,0.0
env_wind_degrees,env_wind_degrees,0,0.0
env_visibility_km,env_visibility_km,0,0.0
env_temp_c,env_temp_c,0,0.0
env_relative_humidity,env_relative_humidity,0,0.0
env_precip_today_metric,env_precip_today_metric,0,0.0
env_precip_1hr_metric,env_precip_1hr_metric,0,0.0
vehicle_motortype,vehicle_motortype,0,0.0
engine_coolant_temperature_mean,engine_coolant_temperature_mean,0,0.0
vehicle_prod_year,vehicle_prod_year,0,0.0
vehicle_type,vehicle_type,0,0.0
driver_name_and_id,driver_name_and_id,0,0.0
weight_1,weight_1,0,0.0
Hour,Hour,0,0.0
env_wind_degrees_based_on_vehicle_direction,env_wind_degrees_based_on_vehicle_direction,0,0.0
env_wind_kph,env_wind_kph,0,0.0
Weekday,Weekday,0,0.0
Minute,Minute,0,0.0
location_0,location_0,0,0.0
location_1,location_1,0,0.0
location_4,location_4,0,0.0
location_5,location_5,0,0.0
location_2,location_2,0,0.0
location_3,location_3,0,0.0
location_7,location_7,0,0.0
location_6,location_6,0,0.0
location_8,location_8,0,0.0
distance_1,distance_1,0,0.0
distance_2,distance_2,0,0.0
distance_3,distance_3,0,0.0
distance_4,distance_4,0,0.0
fuel_consumption_sum,fuel_consumption_sum,0,0.0
